ID,German,Article,English,Plural,Level
157,Umfrage,die,Survey,Umfragen,A1
158,Anrufer,der,Caller (M),Anrufer,A1
159,Anruferin,die,Caller (F),Anruferinnen,A1
160,Dame,die,Lady,Damen,A1
161,Geld,das,Money,Gelder,A1
162,Menge,die,Quantity,Mengen,A1
163,Preis,der,Price,Preise,A1
164,Werbung,die,Advertisement,Werbungen,A1
165,Angebot,das,Offer,Angebote,A1
166,Regenbogen,der,Rainbow,Regenbogen,A1
167,Leute,die,People,Leute,A1
168,Suppe,die,Soup,Suppen,A1
169,Nudel,die,Noodle,Nudeln,A1
170,Mokka,der,Mokka,Mokkas,A1
171,Eis,das,Ice,-,A1
172,Zucker,der,Sugar,Zucker,A1
173,Guave,die,Guava,Guaven,A1
174,Ananas,die,Pineapple,Ananas,A1
175,Ananassaft,der,Pineapple Juice,Ananassäfte,A1
176,Würstchen,das,Small Sausage,Würstchen,A1
177,Porridge,der,Porridge,Porridges,A1
178,Wochenende,das,Weekend,Wochenenden,A1
179,Woche,die,Week,Wochen,A1
180,Bohne,die,Bean,Bohnen,A1
181,Speck,der,Bacon,Specke,A1
182,Knoblauch,der,Garlic,-,A1
183,Zwiebel,die,Onion,Zwiebeln,A1
184,Olive,die,Olive,Oliven,A1
185,Gurke,die,Cucumber,Gurken,A1
186,Schaf,das,Sheep,Schafe,A1
187,Schafskäse,der,Sheep Cheese,Schafskäse,A1
188,Kreuz,das,Cross,Kreuze,A1
189,Anhang,der,Appendix,Anhänge,A1
190,Beispiel,das,Example,Beispiele,A1
191,Flasche,die,Bottle,Flaschen,A1
192,Liter,das,Liter,Liter,A1
193,Gramm,das,Gram,Gramme,A1
194,Kilo,das,Kilo,Kilos,A1
195,Kästchen,das,Small Box,Kästchen,A1
196,Möglichkeit,die,Option,Möglichkeiten,A1
197,Ding,das,Thing,Dinge,A1
198,Schatz,der,Treasure,Shätze,A1
199,Status,der,Status,Status,A1
200,Pause,die,Break,Pausen,A1
201,Polizist,der,Police (M),Polizisten,A1
202,Polizistin,die,Police (F),Polizistinnen,A1
203,Sendung,die,Broadcast,Sendungen,A1
204,Beruf,der,Job,Berufe,A1
205,Kind,das,Child,Kinder,A1
206,Firma,die,Company,Firmen,A1
207,Ingenieur,der,Engineer (M),Ingenieure,A1
208,Ingenieurin,die,Engineer (F),Ingenieurinnen,A1
209,Taxifahrer,der,Taxi Driver (M),Taxifahrer,A1
210,Taxifahrerin,die,Taxi Driver (F),Taxifahrerinnen,A1
211,Rentner,der,Pensioner (M),Rentner,A1
212,Rentnerin,die,Pensioner (F),Rentnerinnen,A1
213,Arbeit,die,Work,Arbeiten,A1
214,Uhrzeit,die,Time,Uhrzeiten,A1
215,Termin,der,Appointment,Termine,A1
216,Wohnort,der,Residence,Wohnorte,A1
217,Alter,das,Age,Alter,A1
218,Schere,die,Scissors,Scheren,A1
219,Kamm,der,Comb,Kämme,A1
220,Bürste,die,Brush,Bürsten,A1
221,Büro,das,Office,Büros,A1
222,Drucker,der,Printer,Drucker,A1
223,Küche,die,Kitchen,Küchen,A1
224,Herd,der,Stove,Herde,A1
225,Topf,der,Pot,Töpfe,A1
226,Visitenkarte,die,Business Card,Visitenkarten,A1
227,Maus,die,Mouse,Mäuse,A1
228,Studium,das,Study,Studien,A1
229,Zange,die,Pliers,Zangen,A1
230,Schraubenzieher,der,Screwdriver,Schraubenzieher,A1
231,Telefongespräch,das,Telephone Conversation,Telefongespräche,A1
232,Support,der,Support,Supporte,A1
233,Tarif,der,Tariff,Tarife,A1
234,Monat,der,Month,Monate,A1
235,Doku,die,Documentation,Dokus,A1
236,Lebensmittel,das,Groceries,Lebensmittel,A1
237,Mittel,das,Resource,Mittel,A1
238,Licht,das,Light,Lichter,A1
239,Zuschauer,der,Viewer (M),Zuschauer,A1
240,Zuschauerin,die,Viewer (F),Zuschauerinnen,A1
241,Dusche,die,Shower,Duschen,A1
242,Nachricht,die,Message,Nachrichten,A1
243,U-Bahn,die,Subway,U-Bahnen,A1
244,Kokosnuss,die,Coconut,Kokosnüsse,A1
245,Aubergine,die,Eggplant,Auberginen,A1
246,Schluss,der,End,Schlüsse,A1
247,Schauspiel,das,Show,Schauspiele,A1
248,Schauspieler,der,Actor (M),Schauspieler,A1
249,Schauspielerin,die,Actor (F),Schauspielerinnen,A1
250,Stammbaum,der,Family Tree,Stammbäume,A1
251,Stamm,der,Stem,Stämme,A1
252,Baum,der,Tree,Bäume,A1
